,0,1
0,&,dan
1,+,tambah
2,/,atau
3,=,sama dengan
4,ababil,anak ingusan
5,abal2,palsu
6,abal,palsu
7,ad,ada
8,akooh,aku
9,alay,norak
10,albm,album
11,ampe,sampai
12,anjir,waw
13,anyway,ngomong-ngomong
14,aq,aku
15,asap,secepatnya
16,ato,atau
17,atw,atau
18,ava,foto profil
19,baget,keras kepala
20,baper,bawa perasaan
21,bapuk,rusak
22,bcr,bicara
23,bebeb,pacar
24,begin,awal
25,bejibun,bertumpuk banyak
26,bener,benar
27,ber2,berdua
28,ber3,bertiga
29,better,lebih baik
30,bf,pacar
31,bgt,banget
32,bhas,bahas
33,bhg,bahagia
34,bikin,buat
35,binggo,banget
36,bingit,banget
37,bklan,bakalan
38,bkn,bukan
39,blg,bilang
40,bnr,benar
41,bnyk,banyak
42,br,baru
43,brb,akan segera kembali
44,brjaya,berjaya
45,bs,bisa
46,bsk,besok
47,btw,ngomong-ngomong
48,cm,cuma
49,cmiiw,koreksi saya
50,cnt,cinta
51,congrats,selamat
52,crop,potong
53,cya,sampai jumpa lagi
54,d,di
55,da,ada
56,dafuk,kurang ajar
57,damat,tidak peduli
58,dempa,demi apa
59,dgn,dengan
60,dkt,dekat
61,dlm,dalam
62,dlu,dulu
63,dmn,dimana
64,dpt,dapat
65,dr,dari
66,drpd,daripada
67,dsna,disana
68,dugem,dunia gemerlap
69,elo,kamu
70,elu,kamu
71,emg,memang
72,epsd,episode
73,fake,falsu
74,fans,penggemar
75,fans,penggemar
76,faq,pertanyaan umum
77,fham,paham
78,fhm,paham
79,fix,pasti
80,ft,foto
81,fyi,asal tahu saja
82,g,tidak
83,ga,tidak
84,gaada,tidak ada
85,gabut,gaji buta
86,gada,tidak ada
87,gajebo,tidak jelas
88,gak,tidak
89,galau,bimbang
90,garing,hambar
91,gatau,tidak tahu
92,geje,tidak jelas
93,gengges,ganggu
94,gf,pacar
95,ggl,gagal
96,gk,tidak
97,gmn,bagaimana
98,gmpng,gampang
99,gogon,go internasional
100,gokil,gila
101,gpp,tidak apa-apa
102,grammar,tata bahasa
103,gt,gitu
104,gue,aku
105,gw,aku
106,gw,aku
107,hacep,pesta pora
108,hater,pembenci
109,haters,pembenci
110,hdp,hidup
111,hdr,hadir
112,hit,terpopuler
113,hits,terkini
114,hoax,palsu
115,ig,instagram
116,indo,indonesia
117,iow,dengan kata lain
118,ipon,iphone
119,jd,jadi
120,jdi,jadi
121,jdnya,jadinya
122,jg,juga
123,jgan,jangan
124,jgn,jangan
125,jl,jalan
126,jln,jalan
127,jls,jelas
128,jutek,galak
129,kamseupay,kampungan
130,karn,karena
131,kbr,kabar
132,kca,kaca
133,keknya,kayaknya
134,keles,kali
135,keleus,kali
136,kepo,penasaran
137,kgk,kagak
138,kicep,diam
139,kipak,bohong
140,kk,kakak
141,kl,kalau
142,klo,kalau
143,klon,duplikat
144,klrg,keluarga
145,klu,kalau
146,km,kamu
147,kmn,kemana
148,kmrn,kemarin
149,kn,kan
150,knp,kenapa
151,kongkow,kumpul-kumpul
152,kpd,kepada
153,kpn,kapan
154,krn,karena
155,krna,karena
156,ktny,katanya
157,kumkeb,kumpul kebo
158,kyk,kayak
159,kzl,kesal
160,lebay,berlebihan
161,lebeh,berlebihan
162,lg,lagi
163,lgs,langsung
164,liat,lihat
165,lnjut,lanjut
166,lo,kamu
167,lol,tertawa
168,love,cinta
169,lwt,lewat
170,maaci,terima kasih
171,mabok,mabuk
172,mager,malas gerak
173,maharani,mahal
174,maho,homoseksual
175,mainstream,sangat umum
176,males,malas
177,mcm,macam
178,mehong,mahal
179,meneketehe,tidak tahu
180,menel,centil
181,mgkn,mungkin
182,mimin,admin
183,minn,admin
184,mkn,makan
185,mksd,maksud
186,mlm,malam
187,mlm,malam
188,mls,malas
189,mmg,memang
190,modus,maksud lain
191,mrk,mereka
192,mrka,mereka
193,much,lebih
194,mure,murah
195,mw,mau
196,n,dan
197,ngeh,paham
198,ngeuh,paham
199,nggak,tidak
200,nggu,menunggu
201,ngk,tidak
202,nic,penggemar agnezmo
203,nice,bagus
204,nicong,penggemar agnezmo
205,nmr,nomor
206,nongkrong,kumpul-kumpul
207,ntn,nonton
208,nyungsep,jatuh
209,official,resmi
210,olh,oleh
211,or,atau
212,org,orang
213,pa,apa
214,pake,pakai
215,palbis,paling bisa
216,pcr,pacar
217,pcran,pacaran
218,pd,pada
219,pdhal,padahal
220,peres,palsu
221,pg,pagi
222,pgg,pegang
223,php,pemberi harapan palsu
224,pk,pakai
225,plg,pulang
226,pls,tolong
227,pnh,pernah
228,pntg,penting
229,pny,punya
230,prasmul,perasaan saja
231,prcya,percaya
232,prnh,pernah
233,pst,pesat
234,recokin,ganggu
235,rempong,repot
236,ri,republik indonesia
237,rotfl,tertawa
238,sabeb,bebas
239,schedule,jadwal
240,sdh,sudah
241,sdh,sudah
242,selow,santai
243,sgt,sangat
244,sgt,sangat
245,sgtu,segitu
246,sgtuny,segitunya
247,sh,masih
